row_index_1,row_index_2,name_company_1,name_company_2,address_1,address_2,city_1,city_2,state_1,state_2,country_1,country_2,continent_1,continent_2,is_match
18882,3108,NEW AGE TOURING PRODUCTIONS LIMITED,FOOD COMPLIANT ENGINEERING LTD,"20-22 Wenlock Road, London, England, N1 7GU","20-22 Wenlock Road, London, N1 7GU",,,,,,,,,1
18882,18166,NEW AGE TOURING PRODUCTIONS LIMITED,GOOD AND BETTER LTD,"20-22 Wenlock Road, London, England, N1 7GU","20-22 Wenlock Road, London, N1 7GU",,,,,,,,,1
18894,4001,SOFTWARE DEVELOPMENTS LIMITED,S A AND SONS CONSULTANCY LTD,"Unit 2.02 High Weald House, Glovers End, Bexhill, East Sussex, England, TN39 5ES","Unit 2.02 High Weald House, Glovers Lane, Bexhill- On- Sea, United Kingdom, TN39 5ES",,,,,,,,,1
18961,9901,AmRest Holdings SE,Ebro Foods SA,"Paseo De La Castellana 163, 6 Planta, Madrid, 28046","Paseo De La Castellana Numero 20, 2 Planta, Madrid, 28046",,,,,,,,,1
19116,6883,Brembo Spa,Reti Televisive Italiane Spa,"VIALE EUROPA 2, STEZZANO, 24040, BERGAMO, ITALY","VIALE EUROPA 44/46 48, COLOGNO MONZESE, 20093, MILANO, ITALY",,,,,IT00222620163,IT03976881007,,,1
19178,6055,T ABRAHAMS GLOBAL EMPIRE LTD,BEAUTY ANCHOR AESTHETICS LIMITED,"27 Old Gloucester Street, London, England, 27 Old Gloucester Street, London, England, WC1N 3AX","27 Old Gloucester Street, London, England, WC1N 3AX",,,,,,,,,1
19178,6697,T ABRAHAMS GLOBAL EMPIRE LTD,NEW AGE LETTINGS LIMITED,"27 Old Gloucester Street, London, England, 27 Old Gloucester Street, London, England, WC1N 3AX","27 Old Gloucester Street, London, England, WC1N 3AX",,,,,,,,,1
19189,17987,Technogym Spa,Uno Holding Srl,"VIA CALCINARO 2861, CESENA, 47521, FORLI'-CESENA, ITALY","VIA CALDERA 21, MILANO, 20153, MILANO, ITALY",,,,,IT06250230965,IT09142880963,,,1
19342,10238,Aker ASA,Aker Solutions ASA,"Oksenoyveien 10, Lysaker, 1366","Oksenoyveien 8, Lysaker, 1366",,,,,,,,,1
19956,5209,PHI FINANCES INVESTMENT LTD,Z CONSULTING LTD,"PO Box 4385, 12588573: COMPANIES HOUSE DEFAULT ADDRESS, Cardiff, CF14 8LH","PO Box 4385, 13029850: COMPANIES HOUSE DEFAULT ADDRESS, Cardiff, CF14 8LH",,,,,,,,,1
20003,18855,Grand Baoxin Auto Group Ltd,China Grand Automotive Services Group Co Ltd,"No. 3998 Hongxin Road, Minhang District, Shanghai","No. 3998 Hongxin Road, Minhang District, Shanghai, 201103",,,,,,,,,1
20181,8239,Reynolds Consumer Products Inc,Pactiv Evergreen Inc,"1900 W Field Ct, Lake Forest, Illinois, 60045-4828","1900 W. Field Court, Lake Forest, Illinois, 60045",,,,,,,,,1
20246,2875,M3 Inc,SKY Perfect JSAT Holdings Inc,"Akasaka Intercity 10th floor, 1-11-44, Akasaka, Minato-Ku, Tokyo, 107-0052","Akasaka Intercity Air, 1-8-1, Akasaka, Minato-Ku, Tokyo, 107-0052",,,Tokyo,,Japan,,Asia,,1
20362,3108,FOOD AND PACKAGING WHOLESALE LTD,FOOD COMPLIANT ENGINEERING LTD,"20-22 Wenlock Road, London, England, N1 7GU","20-22 Wenlock Road, London, N1 7GU",,,,,,,,,1
20362,18166,FOOD AND PACKAGING WHOLESALE LTD,GOOD AND BETTER LTD,"20-22 Wenlock Road, London, England, N1 7GU","20-22 Wenlock Road, London, N1 7GU",,,,,,,,,1
20378,14544,Q AND H PROPERTIES (BARRY) LIMITED,T. A. D. PROPERTIES INVESTMENTS LIMITED,"7-8 Raleigh Walk Waterfront 2000, Brigantine Place, Cardiff, United Kingdom, CF10 4LN","7-8 Raleigh Walk, Waterfront 2000, Brigantine Place, Cardiff, Cardiff, CF10 4LN",,,,,,,,,1
